timestamp,name,cpu_perc,mem_usage,mem_limit
2026-05-04T20:27:44-03:00,fraud-lb,5.13%,7.234MiB,30MiB
2026-05-04T20:27:44-03:00,fraud-api-01,1.50%,15.38MiB,160MiB
2026-05-04T20:27:44-03:00,fraud-api-02,1.18%,15.18MiB,160MiB
2026-05-04T20:27:49-03:00,fraud-lb,5.12%,7.754MiB,30MiB
2026-05-04T20:27:49-03:00,fraud-api-01,1.83%,15.33MiB,160MiB
2026-05-04T20:27:49-03:00,fraud-api-02,1.38%,15.22MiB,160MiB
2026-05-04T20:27:53-03:00,fraud-lb,5.20%,7.355MiB,30MiB
2026-05-04T20:27:53-03:00,fraud-api-01,1.45%,15.37MiB,160MiB
2026-05-04T20:27:53-03:00,fraud-api-02,1.78%,15.19MiB,160MiB
2026-05-04T20:27:58-03:00,fraud-lb,5.20%,7.562MiB,30MiB
2026-05-04T20:27:58-03:00,fraud-api-01,1.82%,15.39MiB,160MiB
2026-05-04T20:27:58-03:00,fraud-api-02,1.31%,15.22MiB,160MiB
2026-05-04T20:28:02-03:00,fraud-lb,5.17%,7.047MiB,30MiB
2026-05-04T20:28:02-03:00,fraud-api-01,2.06%,15.64MiB,160MiB
2026-05-04T20:28:02-03:00,fraud-api-02,1.31%,15.23MiB,160MiB
2026-05-04T20:28:06-03:00,fraud-lb,5.13%,7.551MiB,30MiB
2026-05-04T20:28:06-03:00,fraud-api-01,1.39%,15.46MiB,160MiB
2026-05-04T20:28:06-03:00,fraud-api-02,1.37%,15.3MiB,160MiB
2026-05-04T20:28:11-03:00,fraud-lb,5.13%,7.402MiB,30MiB
2026-05-04T20:28:11-03:00,fraud-api-01,1.39%,15.51MiB,160MiB
2026-05-04T20:28:11-03:00,fraud-api-02,1.37%,15.32MiB,160MiB
2026-05-04T20:28:15-03:00,fraud-lb,1.10%,4.852MiB,30MiB
2026-05-04T20:28:15-03:00,fraud-api-01,0.03%,15.45MiB,160MiB
2026-05-04T20:28:15-03:00,fraud-api-02,0.03%,15.23MiB,160MiB
