iter	Logloss
0	0.5583664582
1	0.4422211452
2	0.3460413268
3	0.2949349137
4	0.2317478904
5	0.1880531252
6	0.1506674738
7	0.1254655055
8	0.1051301365
9	0.08919197299
10	0.07607510878
11	0.06852880779
12	0.05806550859
13	0.05322988817
14	0.04635610209
15	0.04226031634
16	0.0379662289
17	0.03466621109
18	0.03179557263
19	0.02918824757
20	0.02760305936
21	0.02611122816
22	0.02439937572
23	0.02314597356
24	0.02194518842
25	0.02096871507
26	0.02018008601
27	0.01963249243
28	0.01903574277
29	0.01844723288
30	0.01789696505
31	0.01732012874
32	0.0169701372
33	0.01648509923
34	0.01613002479
35	0.01585227088
36	0.01551369408
37	0.01520694158
38	0.01487382631
39	0.01454165145
40	0.01427776273
41	0.01391989875
42	0.01374967222
43	0.01349334398
44	0.01321750816
45	0.01293280299
46	0.01269001443
47	0.01249959762
48	0.01234062307
49	0.01205533467
50	0.01195027018
51	0.01171501723
52	0.01155661235
53	0.01144361778
54	0.01121296057
55	0.01107723484
56	0.01089454805
57	0.01071290677
58	0.01060330757
59	0.01047595613
60	0.01030090667
61	0.01006854951
62	0.009904920446
63	0.009667470224
64	0.009488569882
65	0.009395732813
66	0.009202156855
67	0.009018722941
68	0.008885578787
69	0.008712253575
70	0.008567092234
71	0.008483364695
72	0.008381105572
73	0.008305775484
74	0.008202063945
75	0.00812321302
76	0.008063589934
77	0.007973516411
78	0.007915894494
79	0.007792986764
80	0.007695418888
81	0.007582369502
82	0.00748023471
83	0.007340115569
84	0.007225169565
85	0.00711648986
86	0.007005820288
87	0.006896460717
88	0.006812401439
89	0.006749623163
90	0.006680886026
91	0.006617321637
92	0.006506874166
93	0.006458050385
94	0.006383928571
95	0.006294290208
96	0.006213318869
97	0.006135749121
98	0.006063319909
99	0.005974927119
100	0.005923021052
101	0.005821364936
